centerYn,districtCd,regionName,stationId,stationName,x,y,stationSeq,turnYn,mobileNo,distance,accumDistance
N,2,성남,206000010,운중동먹거리촌,127.0582333,37.3914,1,N,07004,0.0,259.3405944610466
N,2,성남,206000009,운중동푸르지오하임,127.0611,37.3919333,2,N,07005,259.3405944610466,518.9466751214628
N,2,성남,206000658,한빛교회.월든힐스아파트,127.0639667,37.39205,3,N,07581,259.60608066041624,774.4956588654743
N,2,성남,206000558,운중초등학교,127.0665667,37.39135,4,N,07507,255.54898374401154,1346.2382610018276
N,2,성남,206000007,운중중학교,127.07305,37.3916,5,N,07009,571.7426021363534,1756.2495885272417
N,2,성남,206000006,운중동행정복지센터,127.0776667,37.3915,6,N,07011,410.0113275254142,2225.2990283692634
N,2,성남,206000005,뫼루니육교,127.0829167,37.3910667,7,N,07013,469.0494398420217,2689.306580801967
N,2,성남,206000004,판교원마을1.2단지.판교도서관,127.0879333,37.3898167,8,N,07015,464.0075524327036,3054.9052336651416
N,2,성남,206000555,판교청소년수련관.판교종합사회복지관,127.0919333,37.3889833,9,N,07502,365.59865286317466,3435.34373780442
N,2,성남,206000003,한림아파트,127.0961333,37.3882167,10,N,07016,380.4385041392782,3739.1130606300494
N,2,성남,206000002,너더리육교,127.0996,37.3881,11,N,07018,303.76932282562956,4987.684451504654
N,2,성남,277103149,판교TG(경유),127.1031667,37.39595,12,N,-1,1248.5713908746043,7695.5107334824115
N,2,성남,277103679,금토JC(경유),127.0853167,37.4152833,13,N,-1,2707.8262819777574,10340.926119980923
N,2,서울,277103441,서울진입(경유),127.0665833,37.43385,14,N,-1,2645.41538649851,12294.947028334038
N,2,서울,277104177,청계산입구역(경유),127.0542,37.4483667,15,N,-1,1954.0209083531147,14354.334087157285
N,2,서울,277103388,양재IC(경유),127.04045,37.4632833,16,N,-1,2059.387058823247,16944.367685023
N,2,서울,277103390,서초IC(경유),127.0263333,37.4831333,17,N,-1,2590.033597865716,19232.17156741712
N,2,서울,277103391,반포IC(경유),127.0188667,37.50285,18,N,-1,2287.8038823941192,21537.502375184995
N,2,서울,277103400,한남IC(경유),127.0175833,37.5224833,19,N,-1,2305.3308077678753,23333.11699980537
N,2,서울,102000069,순천향대학병원,127.0062667,37.5356667,20,N,-1,1795.6146246203766,24069.69714843597
N,2,서울,277104180,한남1고가차도(경유),127.0026333,37.5414667,21,N,-1,736.5801486306025,25885.104383398488
N,2,서울,277104186,남산1호터널TG(경유),126.99315,37.55585,22,N,-1,1815.407234962517,27096.557782099433
N,2,서울,101000292,남대문세무서.국가인권위원회,126.9878,37.5652333,23,N,-1,1211.4533987009447,27602.996806045
Y,2,서울,100000001,종로2가사거리(중),126.9877333,37.5697833,24,N,-1,506.43902394556744,28366.79298023475
N,2,서울,101000141,을지로입구역.광교,126.9824667,37.5675333,25,N,72014,763.7961741897482,29381.17147796626
N,2,서울,101000264,북창동.남대문시장,126.9771667,37.5609667,26,N,-1,1014.3784977315127,30411.94565373078
Y,2,서울,101000005,서울역버스환승센터(5번승강장)(중),126.97275,37.5554333,27,Y,-1,1030.7741757645192,30810.384177775322
N,2,서울,277101742,서울역교차로(경유),126.9726333,37.5571,28,N,-1,398.43852404454236,31051.07784845199
N,2,서울,101000026,숭례문,126.9744,37.5587833,29,N,-1,240.69367067666806,31583.776299368223
N,2,서울,277102114,남대문로3가(경유),126.9789833,37.56105,30,N,-1,532.6984509162335,32135.42077837703
N,2,서울,101000148,명동국민은행앞,126.9826,37.5646833,31,N,-1,551.6444790088053,32824.62337244406
Y,2,서울,101000001,남대문세무서.서울백병원(중),126.9875333,37.5649667,32,N,-1,689.2025940670305,34012.812015854994
N,2,서울,277104181,남산1호터널TG(경유),126.9927167,37.5557,33,N,-1,1188.1886434109306,35833.67457411892
N,2,서울,277104179,한남1고가차도(경유),127.0024833,37.5413333,34,N,-1,1820.862558263929,36510.9391379488
N,2,서울,102000070,순천향대학병원,127.00545,37.5359,35,N,-1,677.2645638298764,38379.758442438404
N,2,서울,277103399,한남IC(경유),127.0172833,37.5220333,36,N,-1,1868.8193044896043,40613.17667696906
N,2,서울,277103392,반포IC(경유),127.0184333,37.5028167,37,N,-1,2233.4182345306567,42845.09383476406
N,2,서울,277103389,서초IC(경유),127.0256667,37.48365,38,N,-1,2231.9171577950024,45411.74383548888
N,2,서울,277103387,양재IC(경유),127.0394333,37.46365,39,N,-1,2566.650000724817,47554.07591267209
N,2,서울,277104178,청계산입구역(경유),127.0538333,37.4481833,40,N,-1,2142.332077183208,49515.704653480185
N,2,서울,277103440,성남진입(경유),127.0661833,37.43355,41,N,-1,1961.6287408080975,52089.01686338359
N,2,성남,277103678,금토JC(경유),127.08445,37.4155,42,N,-1,2573.3122099034063,54845.34247997429
N,2,성남,277103148,판교TG(경유),127.1021333,37.3956667,43,N,-1,2756.325616590699,56178.53320503588
N,2,성남,206000018,너더리육교,127.0996,37.3883833,44,N,07020,1333.1907250615814,56491.315495477036
N,2,성남,206000017,한림아파트,127.0960833,37.3885,45,N,07017,312.7822904411591,56892.97109542374
N,2,성남,206000554,판교청소년수련관.판교종합사회복지관,127.0916833,37.38935,46,N,07501,401.65559994670116,57132.13321506314
N,2,성남,206000016,판교원마을1.2단지.판교도서관,127.0890667,37.3899,47,N,07014,239.16211963940611,57686.105725388465
N,2,성남,206000556,뫼루니육교,127.0830333,37.3912833,48,N,07515,553.9725103253234,58244.14863099438
N,2,성남,206000015,운중동행정복지센터,127.07675,37.39185,49,N,07012,558.0429056059168,58572.56716272967
N,2,성남,206000014,운중고등학교,127.0730167,37.3918167,50,N,07010,328.41853173528875,59130.16889549394
N,2,성남,206000557,운중초등학교,127.06675,37.3916,51,N,07506,557.6017327642695,59386.26611449348
N,2,성남,206000657,한빛교회.월든힐스아파트,127.0641,37.3921333,52,N,07582,256.0972189995413,59664.16439961476
N,2,성남,206000012,운중동푸르지오하임,127.0609833,37.392,53,N,07006,277.89828512127934,59903.21676107935
N,2,성남,206000470,운중동먹거리촌,127.05835,37.3915167,54,N,07440,239.05236146458742,60086.3537514306
N,2,성남,206000011,한국학중앙연구원,127.0563,37.3916,55,N,07447,183.13699035125347,
